Model            overall   contam  clean-sh   non-sh      n   n_c  n_cs   n_ns
OLMo base          18.17    15.71     17.52    18.93  15714   942  6300   8472
OLMo CPT           15.46    11.04     15.95    15.58  15714   942  6300   8472
OLMo SFT           14.22    10.08     13.52    15.19  15714   942  6300   8472
OLMo CPT+SFT       16.13    14.12     16.51    16.08  15714   942  6300   8472
OLMo GRPO          14.13    14.44     14.62    13.73  15714   942  6300   8472
OLMo CPT+GRPO      23.53    25.69     25.81    21.60  15714   942  6300   8472
Qwen base          42.85    55.10     42.52    41.74  15714   942  6300   8472
Qwen CPT           36.01    42.46     34.87    36.14  15714   942  6300   8472
Qwen SFT           42.06    54.99     42.16    40.56  15714   942  6300   8472
Qwen CPT+SFT       12.47    17.52     13.75    10.95  15714   942  6300   8472
Qwen GRPO          44.90    59.87     44.83    43.28  15714   942  6300   8472
Qwen CPT+GRPO      42.23    56.16     42.38    40.57  15714   942  6300   8472
