JobID|JobName|State|Submit|Start|End|Elapsed|NNodes|AllocTRES|NodeList|ExitCode
5866356|gpu-probe|COMPLETED|2026-08-01T21:43:37|2026-08-01T21:43:51|2026-08-01T21:43:55|00:00:04|1|billing=72,cpu=72,gres/gpu=1,mem=115000M,node=1|nid010864|0:0
5866433|cputest|CANCELLED by 1483807345|2026-08-01T22:11:14|None|2026-08-01T22:13:45|00:00:00|1||None assigned|0:0
5866604|prefetch|FAILED|2026-08-01T22:14:15|2026-08-01T22:15:33|2026-08-01T22:15:34|00:00:01|1|billing=72,cpu=72,gres/gpu=1,mem=115000M,node=1|nid010975|1:0
5866707|prefetch|CANCELLED by 1483807345|2026-08-01T22:17:41|2026-08-01T22:21:18|2026-08-01T22:35:37|00:14:19|1|billing=72,cpu=72,gres/gpu=1,mem=115000M,node=1|nid011295|0:0
5866907|smoke|CANCELLED by 1483807345|2026-08-01T22:23:53|2026-08-01T22:25:03|2026-08-01T22:35:37|00:10:34|1|billing=72,cpu=72,gres/gpu=1,mem=115000M,node=1|nid010104|0:0
5867394|pilot-node|CANCELLED by 1483807345|2026-08-01T23:17:06|None|2026-08-01T23:24:54|00:00:00|1||None assigned|0:0
5867436|interactive|TIMEOUT|2026-08-01T23:25:10|2026-08-02T00:14:08|2026-08-02T01:14:24|01:00:16|1|billing=288,cpu=288,gres/gpu=4,mem=460000M,node=1|nid011065|0:0
5868020|hp-r64_kl0|CANCELLED by 1483807345|2026-08-02T01:48:05|None|2026-08-02T02:22:11|00:00:00|1||None assigned|0:0
5868021|hp-r64_kl0.05|CANCELLED by 1483807345|2026-08-02T01:48:05|None|2026-08-02T02:22:11|00:00:00|1||None assigned|0:0
5868022|hp-r64_kl0.15|CANCELLED by 1483807345|2026-08-02T01:48:06|None|2026-08-02T02:22:11|00:00:00|1||None assigned|0:0
5868023|hp-r128_kl0|CANCELLED by 1483807345|2026-08-02T01:48:06|None|2026-08-02T02:22:11|00:00:00|1||None assigned|0:0
5868024|hp-r128_kl0.05|CANCELLED by 1483807345|2026-08-02T01:48:06|None|2026-08-02T02:22:11|00:00:00|1||None assigned|0:0
5868025|hp-r128_kl0.15|CANCELLED by 1483807345|2026-08-02T01:48:06|None|2026-08-02T02:22:11|00:00:00|1||None assigned|0:0
5868026|hp-r256_kl0|CANCELLED by 1483807345|2026-08-02T01:48:06|None|2026-08-02T02:22:11|00:00:00|1||None assigned|0:0
5868027|hp-r256_kl0.05|CANCELLED by 1483807345|2026-08-02T01:48:06|None|2026-08-02T02:22:11|00:00:00|1||None assigned|0:0
5868028|hp-r256_kl0.15|CANCELLED by 1483807345|2026-08-02T01:48:06|None|2026-08-02T02:22:11|00:00:00|1||None assigned|0:0
